ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
841890,G. Kishan Reddy,Elected,"Thursday, May 23, 2019",In office,First Term,Secunderabad,Telangana,Bharatiya Janata Party,Male,Diploma Course,"Diploma in Tool Engineering, Educated at Central Institute of Tool Engineering , Balanagar, Hyderabad, Telangana",59,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841891,G. Selvam,Elected,"Thursday, May 23, 2019",In office,First Term,Kancheepuram,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.Com., M.Phil., LL.B., Educated at Pachiyappis College of Men, Kancheepuram, Alagappa University Karaikudi and Sri Venkatesware University, Tirupati, SBRTM Law College, Kadappa",45,3,0,75,88%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841892,Gaddam Ranjith Reddy,Elected,"Thursday, May 23, 2019",In office,First Term,Chelvella,Telangana,Telangana Rashtra Samithi,Male,Information not available,Information Not Available,55,14,0,30,88%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,8.4,0,29,80%,,Lok Sabha
841814,Gajanan Chandrakant Kirtikar,Elected,"Thursday, May 23, 2019",In office,Second Term,Mumbai-North-West,Maharashtra,Shiv Sena,Male,Graduate,B.A. (Ecomomics),76,10,0,130,75%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841893,Gajendra Umrao Singh Patel,Elected,"Thursday, May 23, 2019",In office,First Term,Khargone,Madhya Pradesh,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B., Educated at Government College, Barwani, Madhya Pradesh",44,11,0,1,88%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11,0.2,23,90%,,Lok Sabha
841633,Gajendrasingh Shekhawat,Elected,"Thursday, May 23, 2019",In office,Second Term,Jodhpur,Rajasthan,Bharatiya Janata Party,Male,Post Graduate,P.G.,52,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841674,Ganesh Singh,Elected,"Thursday, May 23, 2019",In office,Fourth Term,Satna,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",57,30,0,45,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11,0.2,23,90%,,Lok Sabha
841817,Gangasandra Siddappa Basavaraj,Elected,"Thursday, May 23, 2019",In office,Fifth Term,Tumkur,Karnataka,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka",78,3,0,8,88%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,5.1,0,37,78%,,Lok Sabha
841894,Gautam Gambhir,Elected,"Thursday, May 23, 2019",In office,First Term,East Delhi,Delhi,Bharatiya Janata Party,Male,Information not available,Information Not Available,38,3,1,32,74%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.8,45,85%,,Lok Sabha
841895,Gautham Sigamani Pon,Elected,"Thursday, May 23, 2019",In office,First Term,Kallakurichi,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Information not available,Information Not Available,45,7,0,8,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841896,Geeta Kora,Elected,"Thursday, May 23, 2019",In office,First Term,Singhbhum,Jharkhand,Indian National Congress,Female,Information not available,Information Not Available,,2,0,0,54%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.8,0.8,39,71%,,Lok Sabha
841897,Giridhari Yadav,Elected,"Thursday, May 23, 2019",In office,Third Term,Banka,Bihar,Janata Dal (United),Male,Post Graduate,"M.A., LL.B., Educated at Bhagalpur University, Bhagalpur (Bihar) and Dr. Hari Singh Gaur University, Sagar (Madhya Pradesh)",58,5,0,79,75%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.5,28,86%,,Lok Sabha
841766,Giriraj Singh,Elected,"Thursday, May 23, 2019",In office,Second Term,Begusarai,Bihar,Bharatiya Janata Party,Male,Graduate,Graduate,67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841898,Girish Bhalchandra Bapat,Elected,"Thursday, May 23, 2019",In office,First Term,Pune,Maharashtra,Bharatiya Janata Party,Male,Information not available,Information Not Available,69,9,0,69,91%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841899,Girish Chandra,Elected,"Thursday, May 23, 2019",In office,First Term,Nagina,Uttar Pradesh,Bahujan Samaj Party,Male,Information not available,Information Not Available,55,17,0,0,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841900,Goddeti Madhavi,Elected,"Thursday, May 23, 2019",In office,First Term,Araku,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Female,Graduate,"B.Sc. (Computer), B.P.Ed., Educated at SPACES Degree College and Srinivasa College of Physical Education",27,9,0,0,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0,29,85%,,Lok Sabha
841610,Godse Hemant Tukaram,Elected,"Thursday, May 23, 2019",In office,Second Term,Nashik,Maharashtra,Shiv Sena,Male,Diploma Course,Diploma in Civil Engineering,49,5,0,54,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841901,Gomati Sai,Elected,"Thursday, May 23, 2019",In office,First Term,Raigarh,Chhattisgarh,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"12th Pass, Educated at Government Inter College, Tapkara, Jashpur, Chhattisgarh",41,3,0,4,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,6.3,0,19,94%,,Lok Sabha
841758,Gopal Chinayya Shetty,Elected,"Thursday, May 23, 2019",In office,Second Term,Mumbai-North,Maharashtra,Bharatiya Janata Party,Male,Under Matric,Non-Matric,65,25,7,68,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841902,Gopal Jee Thakur,Elected,"Thursday, May 23, 2019",In office,First Term,Darbhanga,Bihar,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Sociology) Educated at Lalit Narayan Mithila University, Darbhanga, Bihar",50,11,0,26,98%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.5,28,86%,,Lok Sabha
841576,Gourav Gogoi,Elected,"Thursday, May 23, 2019",In office,Second Term,Kaliabor,Assam,Indian National Congress,Male,Post Graduate,Post Graduate,37,22,0,29,79%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,9.8,0,27,87%,,Lok Sabha
841767,Gowdar Mallikarjunappa Siddeswara,Elected,"Thursday, May 23, 2019",In office,Fourth Term,Davanagere,Karnataka,Bharatiya Janata Party,Male,Matric,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka)",67,11,0,77,81%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,5.1,0,37,78%,,Lok Sabha
841903,Guharam Ajgalley,Elected,"Thursday, May 23, 2019",In office,Second Term,Janjgir-Champa,Chhattisgarh,Bharatiya Janata Party,Male,Professional Graduate,"B.A., L.L.B. Educated at Swami Bal Krishanpuri University, Raigarh, Chhattisgarh",52,5,0,0,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,6.3,0,19,94%,,Lok Sabha
841904,Guman Singh Damor,Elected,"Thursday, May 23, 2019",In office,First Term,Ratlam,Madhya Pradesh,Bharatiya Janata Party,Male,Information not available,Information Not Available,62,8,0,9,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11,0.2,23,90%,,Lok Sabha
841603,Gurjeet Singh Aujla,Elected,"Thursday, May 23, 2019",In office,Second Term,Amritsar,Punjab,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at P.N.B. Sr. Secondary School, Amritsar, Punjab",47,13,0,34,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.4,0,21,76%,,Lok Sabha
841905,H. Vasanthakumar,Elected,"Thursday, May 23, 2019",In office,First Term,Kanniyakumari,Tamil Nadu,Indian National Congress,Male,Post Graduate,Master of Arts (Tamil),69,28,2,79,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841906,Haji Fazlur Rehman,Elected,"Thursday, May 23, 2019",In office,First Term,Saharanpur,Uttar Pradesh,Bahujan Samaj Party,Male,Information not available,Information Not Available,,10,0,3,68%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841907,Hans Raj Hans,Elected,"Thursday, May 23, 2019",In office,First Term,North West Delhi,Delhi,Bharatiya Janata Party,Male,Information not available,Information Not Available,57,3,0,14,60%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.8,45,85%,,Lok Sabha
841908,Hanumana Ram,Elected,"Thursday, May 23, 2019",In office,First Term,Nagaur,Rajasthan,Rashtriya Loktantrik Party,Male,Information not available,Information Not Available,47,55,0,52,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,19.8,0.8,45,93%,,Lok Sabha
841599,Harish Chandra Alias Harish Dwivedi,Elected,"Thursday, May 23, 2019",In office,Second Term,Basti,Uttar Pradesh,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,46,10,0,58,89%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841747,Harsh Vardhan,Elected,"Thursday, May 23, 2019",In office,Second Term,Chandni Chowk,Delhi,Bharatiya Janata Party,Male,Professional Graduate,M.B.B.S.,65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841639,Harsimrat Kaur Badal,Elected,"Thursday, May 23, 2019",In office,Third Term,Bathinda,Punjab,Shiromani Akali Dal,Female,Graduate,Degree in Dress designing,53,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841909,Hasnain Masoodi,Elected,"Thursday, May 23, 2019",In office,First Term,Anantnag,Jammu and Kashmir,Jammu & Kashmir National Conference,Male,Post Graduate,"M.A., LL.M, Educated at Harvard Law School, Harvard University, USA",65,23,0,20,82%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.4,0,15,76%,,Lok Sabha
841557,Heena Vaijaykumar Gavit,Elected,"Thursday, May 23, 2019",In office,Second Term,Nandurbar,Maharashtra,Bharatiya Janata Party,Female,Professional Post Graduate,"M.B.B.S., M.D.",32,17,0,143,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841802,Hema Malini,Elected,"Thursday, May 23, 2019",In office,Second Term,Mathura,Uttar Pradesh,Bharatiya Janata Party,Female,Matric,"Matric Educated at Andhra Mahila Sabha, Chennai",71,7,0,15,56%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841910,Hemant Patil,Elected,"Thursday, May 23, 2019",In office,First Term,Hingoli,Maharashtra,Shiv Sena,Male,Information not available,Information Not Available,49,7,0,52,79%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841911,Hibi Eden,Elected,"Thursday, May 23, 2019",In office,First Term,Ernakulam,Kerala,Indian National Congress,Male,Information not available,Information Not Available,36,17,2,75,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,22.5,0.7,51,89%,,Lok Sabha
841912,Himadri Singh,Elected,"Thursday, May 23, 2019",In office,First Term,Shahdol,Madhya Pradesh,Bharatiya Janata Party,Female,Information not available,Information Not Available,32,0,0,0,37%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11,0.2,23,90%,,Lok Sabha
841913,Horen Sing Bey,Elected,"Thursday, May 23, 2019",In office,First Term,Autonomous District,Assam,Bharatiya Janata Party,Male,Information not available,Information Not Available,,1,0,3,89%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,9.8,0,27,87%,,Lok Sabha
841914,Imtiaz Jaleel Syed,Elected,"Thursday, May 23, 2019",In office,First Term,Aurangabad,Maharashtra,All India Majlis-e-Ittehadul Muslimeen,Male,Professional Graduate,"M.Com, M.B.A., M.M.C.J., Educated at Saraswati Bhuvan College, Aurangabad, MGM's Institute of Management, Aurangabad and Dr. Babasaheb Ambedkar Marathwada University, Maharashtra",51,14,0,79,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841796,Inderjit Singh Rao,Elected,"Thursday, May 23, 2019",In office,Fifth Term,Gurgaon,Haryana,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",69,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841915,Indra Hang Subba,Elected,"Thursday, May 23, 2019",In office,First Term,Sikkim,,Sikkim Krantikari Morcha,Male,Information not available,Information Not Available,,5,0,3,89%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,5,0,3,89%,,Lok Sabha
841693,Jadhav Prataprao Ganpatrao,Elected,"Thursday, May 23, 2019",In office,Third Term,Buldhana,Maharashtra,Shiv Sena,Male,Under Graduate,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",59,14,0,77,75%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841916,Jagannath Sarkar,Elected,"Thursday, May 23, 2019",In office,First Term,Ranaghat,West Bengal,Bharatiya Janata Party,Male,Information not available,Information Not Available,,2,0,0,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841787,Jagdambika Pal,Elected,"Thursday, May 23, 2019",In office,Third Term,Domariyaganj,Uttar Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",69,36,3,58,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841715,Jai Prakash,Elected,"Thursday, May 23, 2019",In office,Fifth Term,Hardoi,Uttar Pradesh,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B., Educated at Lucknow University (Uttar Pradesh)",61,1,0,31,81%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841917,Jai Sidheshwar Shivachary Mahaswamiji,Elected,"Thursday, May 23, 2019",In office,First Term,Solapur,Maharashtra,Bharatiya Janata Party,Male,Doctorate,"M.A. Ph. D., Educated at Banaras Hindu University",64,3,0,17,89%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841918,Jamyang Tsering Namgyal,Elected,"Thursday, May 23, 2019",In office,First Term,Ladakh,Jammu and Kashmir,Bharatiya Janata Party,Male,Graduate,"Bachelor of Arts, Educated at University of Jammu, J & K",34,13,0,12,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.4,0,15,76%,,Lok Sabha
841740,Janardan Mishra,Elected,"Thursday, May 23, 2019",In office,Second Term,Rewa,Madhya Pradesh,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B",63,13,0,51,89%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11,0.2,23,90%,,Lok Sabha
841709,Janardan Singh Sigriwal,Elected,"Thursday, May 23, 2019",In office,Second Term,Maharajganj,Bihar,Bharatiya Janata Party,Male,Post Graduate,M.A.,60,27,4,61,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.5,28,86%,,Lok Sabha
841919,Jasbir Singh,Elected,"Thursday, May 23, 2019",In office,First Term,Khadoor Sahib,Punjab,Indian National Congress,Male,Information not available,Information Not Available,,19,0,20,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.4,0,21,76%,,Lok Sabha
841920,Jaskaur Meena,Elected,"Thursday, May 23, 2019",In office,Second Term,Dausa,Rajasthan,Bharatiya Janata Party,Female,Post Graduate,"M.A., B.Ed., Educated at Rajasthan University, Jaipur (Rajasthan)",72,17,0,20,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,19.8,0.8,45,93%,,Lok Sabha
841625,Jasvantsinh Sumanbhai Bhabhor,Elected,"Thursday, May 23, 2019",In office,Second Term,Dahod,Gujarat,Bharatiya Janata Party,Male,Graduate,Information not available,51,5,0,43,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0.4,37,92%,,Lok Sabha
841648,Jayadev Galla,Elected,"Thursday, May 23, 2019",In office,Second Term,Guntur,Andhra Pradesh,Telugu Desam Party,Male,Graduate,Graduate,53,32,0,69,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0,29,85%,,Lok Sabha
841675,Jayant Sinha,Elected,"Thursday, May 23, 2019",In office,Second Term,Hazaribagh,Jharkhand,Bharatiya Janata Party,Male,Professional Post Graduate,"Bachelor of Technology (IIT, Delhi), M.Sc. (University of Pennsylvania), M.B.A. (Harvard Business School)",56,3,0,36,72%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.8,0.8,39,71%,,Lok Sabha
841921,Jayanta Kumar Roy,Elected,"Thursday, May 23, 2019",In office,First Term,Jalpaiguri,West Bengal,Bharatiya Janata Party,Male,Doctorate,"M.B.B.S., M.D. (Community Medicine), Educated at North Bengal Medical College, (The West Bengal University of Health Sciences)",51,5,0,13,98%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841725,Jitendra Singh,Elected,"Thursday, May 23, 2019",In office,Second Term,Udhampur,Jammu and Kashmir,Bharatiya Janata Party,Male,Professional Graduate,MBBS,62,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841922,John Barla,Elected,"Thursday, May 23, 2019",In office,First Term,Alipurduars,West Bengal,Bharatiya Janata Party,Male,Information not available,Information Not Available,,7,0,0,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841694,Jual @ Juel Oram,Elected,"Thursday, May 23, 2019",In office,Fifth Term,Sundargarh,Odisha,Bharatiya Janata Party,Male,Others,"Diploma in Electrical Engineering Educated at U.G.I.E., Rourkela (Orissa)",58,3,0,21,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,12.1,0.2,23,87%,,Lok Sabha
841676,Jugal Kishore,Elected,"Thursday, May 23, 2019",In office,Second Term,Jammu,Jammu and Kashmir,Bharatiya Janata Party,Male,Matric,Matriculation,57,16,0,32,98%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.4,0,15,76%,,Lok Sabha
841923,Jyotirmay Singh Mahato,Elected,"Thursday, May 23, 2019",In office,First Term,Purulia,West Bengal,Bharatiya Janata Party,Male,Information not available,Information Not Available,34,1,0,16,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841924,Jyotsna Charandas Mahant,Elected,"Thursday, May 23, 2019",In office,First Term,Korba,Chhattisgarh,Indian National Congress,Female,Information not available,Information Not Available,66,3,0,22,84%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,6.3,0,19,94%,,Lok Sabha
841925,K. Jayakumar,Elected,"Thursday, May 23, 2019",In office,First Term,Tiruvallur,Tamil Nadu,Indian National Congress,Male,Doctorate,"B.E. (Mech. Engg.), M. Tech. (Management), P.G. Dip. RT&M and Ind. Dev., Ph.D., M.I.E. Educated at Madras University, I.I.T. Madras, Tamil Nadu and Institute of Engineers",69,8,0,5,91%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841926,K. Muraleedharan,Elected,"Thursday, May 23, 2019",In office,Fourth Term,Vadakara,Kerala,Indian National Congress,Male,Professional Graduate,"B.A., LL.B. (Course Completed), Educated at Mar Ivnios College, Trivandrum and Law Academy, Law College, Trivandrum (Kerala)",62,17,0,44,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,22.5,0.7,51,89%,,Lok Sabha
841927,K. Navaskani,Elected,"Thursday, May 23, 2019",In office,First Term,Ramanthapuram,Tamil Nadu,Indian Union Muslim League,Male,Inter/ Higher Secondary,Senior Secondary,40,16,2,46,70%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841928,K. Shanmugasundaram,Elected,"Thursday, May 23, 2019",In office,First Term,Pollachi,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Information not available,Information Not Available,49,7,0,31,89%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841929,K. Subbarayan,Elected,"Thursday, May 23, 2019",In office,Second Term,Tiruppur,Tamil Nadu,Communist Party of India,Male,Matric,"Matriculate, Educated at K.S.C. High School, Tiruppur",72,16,0,43,75%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841797,K.C. Patel,Elected,"Thursday, May 23, 2019",In office,Second Term,Valsad,Gujarat,Bharatiya Janata Party,Male,Professional Graduate,M.B.B.S.,70,4,0,0,91%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0.4,37,92%,,Lok Sabha
841930,Kailash Choudhary,Elected,"Thursday, May 23, 2019",In office,First Term,Barmer,Rajasthan,Bharatiya Janata Party,Male,Information not available,Information Not Available,,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841701,Kakoli Ghosh Dastidar,Elected,"Thursday, May 23, 2019",In office,Third Term,Barasat,West Bengal,All India Trinamool Congress,Female,Professional Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",60,7,0,1,79%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841726,Kalyan Banerjee,Elected,"Thursday, May 23, 2019",In office,Third Term,Serampore,West Bengal,All India Trinamool Congress,Male,Professional Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",62,21,0,16,75%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841573,Kamlesh Paswan,Elected,"Thursday, May 23, 2019",In office,Third Term,Bansgaon,Uttar Pradesh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur",43,5,0,2,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841931,Kanakmal Katara,Elected,"Thursday, May 23, 2019",In office,First Term,Banswara,Rajasthan,Bharatiya Janata Party,Male,Graduate,"B.A., Bed., Educated at Kota Open University, Rajasthan",62,9,0,75,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,19.8,0.8,45,93%,,Lok Sabha
841932,Kanimozhi Karunanidhi,Elected,"Thursday, May 23, 2019",In office,First Term,Thoothukkudi,Tamil Nadu,Dravida Munnetra Kazhagam,Female,Post Graduate,M.A. ( Economics),51,29,2,32,91%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841933,Kanumuru Raghu Rama Krishna Raju,Elected,"Thursday, May 23, 2019",In office,First Term,Narsapuram,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduate,"M. Pharma, Educated at Andhra University, Vishakapatnam, Andhra Pradesh",57,29,0,62,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0,29,85%,,Lok Sabha
