ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
841667,Bharatiben Dhirubhai Shiyal,Elected,"Thursday, May 23, 2019",In office,Second Term,Bhavnagar,Gujarat,Bharatiya Janata Party,Female,Professional Graduate,B.A.M.S.,55,15,0,47,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0.4,37,92%,,Lok Sabha
841861,Bharti Pravin Pawar,Elected,"Thursday, May 23, 2019",In office,First Term,Dindori,Maharashtra,Bharatiya Janata Party,Female,Information not available,Information Not Available,41,24,0,61,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841714,Bhartruhari Mahtab,Elected,"Thursday, May 23, 2019",In office,Sixth Term,Cuttack,Odisha,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa)",62,57,3,85,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,12.1,0.2,23,87%,,Lok Sabha
841602,Bhavana Pundlikrao Gawali Patil,Elected,"Thursday, May 23, 2019",In office,Fifth Term,Yavatmal-Washim,Maharashtra,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra)",46,1,0,3,32%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841738,Bheemrao B. Patil,Elected,"Thursday, May 23, 2019",In office,Second Term,Zahirabad,Telangana,Telangana Rashtra Samithi,Male,Graduate,B.Sc. (Agriculture),64,13,0,53,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,8.4,0,29,80%,,Lok Sabha
841568,Bhola Singh,Elected,"Thursday, May 23, 2019",In office,Second Term,Bulandshahr,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,Graduate,42,6,0,68,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841862,Bholanath (B.P. Saroj),Elected,"Thursday, May 23, 2019",In office,First Term,Machhlishahr,Uttar Pradesh,Bharatiya Janata Party,Male,Information not available,Information Not Available,58,4,0,0,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841673,Bidyut Baran Mahato,Elected,"Thursday, May 23, 2019",In office,Second Term,Jamshedpur,Jharkhand,Bharatiya Janata Party,Male,Inter/ Higher Secondary,I. Sc.,56,17,0,128,72%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.8,0.8,39,71%,,Lok Sabha
841863,Bishweswar Tudu,Elected,"Thursday, May 23, 2019",In office,First Term,Mayurbhanj,Odisha,Bharatiya Janata Party,Male,Information not available,Information Not Available,,1,0,0,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,12.1,0.2,23,87%,,Lok Sabha
841724,Brij Bhushan Sharan Singh,Elected,"Thursday, May 23, 2019",In office,Sixth Term,Kaiserganj,Uttar Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh)",62,1,0,6,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
