Title,Date,Participants,Ref.Keywords
"Introduction of the Protection of Human Rights (Amendment) Bill, 2018. ",9/8/2018,Ahir Shri Hansraj Gangaram,"Fundamental Rights,National Human Rights Commission(NHRC),Appointment"
"Combined discussion on Central Goods and Services Tax (Amendment) Bill, 2018; Integrated Goods and Services Tax (Amendment) Bill, 2018; Union Territory Goods and Services Tax (Amendment) Bill, 2018; and Goods and Services Tax (Compensation to States) Amendment Bill, 2018 (Bills passed). ",9/8/2018,"Gandhi Dr. Dharam Vira,Dubey Shri Nishikant ,Dubey Shri Nishikant ,Jayavardhan Dr. Jayakumar,Singh Shri Kunwar Haribansh,Ray Dr. Ravindra Kumar,Galla Shri Jayadev,Chandumajra Shri Prem Singh,Venugopal Shri K. C.,Reddy Shri Konda Vishweshwar,Roy Prof. Saugata,Roy Prof. Saugata,Kumar Shri Kaushalendra,Ananth Kumar Shri ,Kharge Shri Mallikarjun ,Kharge Shri Mallikarjun ,Karunakaran Shri P.,Baheria Shri Subhash Chandra,Poddar Smt. Aparupa,Butta Smt. Renuka,Ranjan (Pappu Yadav) Shri Rajesh,Adsul Shri Anandrao ,Singh Deo Shri Kalikesh Narayan,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH","Agricultural Sector,Automobile Industry,Compensation,Economic Development,Economic Systems,Enterpreneurs,Frauds,Handicraft Workers,Handlooms,Medium-scale Industry,Refund,Registration,Small Scale Industries,Tax Payers,Taxation,Taxes,Textile Industry,Revenue,Corruption,Special Category States,Incentives,Farmers' Welfare,Goods and Services Tax (GST),Export Policy,One Tax One Nation"
"Motion for consideration of Amendments made by Rajya Sabha in The National Commission for Backward Classes (Repeal) Bill, 2017 (Motion adopted )",9/8/2018,GEHLOT SHRI THAAWAR CHAND,
"Motion for consideration of the Banning of Unregulated Deposit Schemes Bills, 2018. (Bill referred to Standing Committee)",9/8/2018,"Dubey Shri Nishikant ,","Punishment,Defaulters,Reserve Bank of India (RBI),Fraudulant Practices,Dual Citizenship"
"Motion for consideration of the Representation of the People (Amendment) Bill, 2017 (Bill Passed)",9/8/2018,"Chautala Shri Dushyant,Gandhi Dr. Dharam Vira,Sanghamita Dr.(Smt.) Mamtaz,Singh Shri Kunwar Haribansh,Rudy Shri Rajiv Pratap,Chandumajra Shri Prem Singh,Reddy Shri Konda Vishweshwar,Thambi durai, Dr. M.,Thambi durai, Dr. M.,Thambi durai, Dr. M.,Salim Shri Mohammad,Gopalakrishnan Shri R.,Adsul Shri Anandrao ,Singh Deo Shri Kalikesh Narayan,Singh Deo Shri Kalikesh Narayan,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR","Electoral Rolls,Electronic Voting,Frauds,Migrant Workers,Non-Resident Indians (NRIs),Postal Ballot,Proxy Vote,Voting Rights,Polling Booths,Aadhar Card"
"Motion to Withdraw the Financial Resolution and Deposit Insurance Bill, 2017 (Motion Adopted and Bill Withdrawn) ",7/8/2018,Radhakrishnan Shri Pon,
"Introduction of the Central Goods and Services Tax (Amendment) Bill, 2018. ",7/8/2018,GOYAL SHRI PIYUSH,"Tax Payers,Tax Reforms,Micro Small and Medium Interprises (MSME)"
"Introduction of the Integrated Goods and Services Tax (Amendment) Bill, 2018. ",7/8/2018,GOYAL SHRI PIYUSH,
"Introduction of the  Union Territory Goods and Services Tax (Amendment) Bill, 2018. ",7/8/2018,GOYAL SHRI PIYUSH,
"Introduction of the Goods and Services Tax (Compensation to States) Amendment Bill, 2018. ",7/8/2018,",GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH","Tax Payers,Textile Industry,Revenue,Compensations,Fraudulant Practices,Goods and Services Tax (GST)"
