Title,Date,Participants,Ref.Keywords
"Introduction of the Real Estate (Regulation and Development) Amendment Bill, 2018 <i>(Amendment of section 7, etc.). </i>",28-12-2018,Solanki Dr. Kirit Premjibhai,"Black Money,Real Estate Regulatory Authority (RERA)"
"Introduction of the National Food Security (Amendment) Bill, 2018 <i>(Amendment of section 2, etc.). </i>",28-12-2018,Solanki Dr. Kirit Premjibhai,"Nutrition Policy,National Health Policy"
"Introduction of the Indian Easements (Amendment) Bill, 2018 <i>(Amendment of section 7, etc.). </i>",28-12-2018,Solanki Dr. Kirit Premjibhai,"Ground Water,Water Management,Water level"
"Introduction of the Right to Play Sports Bill, 2018. ",28-12-2018,Solanki Dr. Kirit Premjibhai,"Physical Education,Sports Development"
"Introduction of the Prevention of Insults to National Honour (Amendment) Bill, 2018 <i>(Substitution of new section for section 3)</i>. ",28-12-2018,Singh Shri Parvesh Sahib,"National Anthem,National Flag"
"Introduction of the Compulsory Teaching of Knowledge Traditions and Practices of India in Educational Institutions Bill, 2018. ",28-12-2018,Singh Shri Parvesh Sahib,
"Introduction of the Emblems and Names (Prevention of Improper Use) Amendment Bill, 2018 <i>(Amendment of the Schedule)</i>. ",28-12-2018,Singh Shri Parvesh Sahib,"Censorship,Misuse,National Emblem,Religious Sanctity"
"Introduction of the Official Government Meetings and Functions (Prohibition on Serving Non-Vegetarian Food) Bill, 2018. ",28-12-2018,Singh Shri Parvesh Sahib,"Environmental Protection,Climate Change"
"Introduction of the Cantonments (Amendment) Bill, 2018 <i>(Insertion of new Chapter IVA)</i>. ",28-12-2018,Khaire Shri Chandrakant Bhaurao,"Cantonment Board,Right to Property"
"Introduction of the Uniform Civil Code in India Bill, 2018. ",28-12-2018,Khaire Shri Chandrakant Bhaurao,Uniform Laws
"Introduction of the Change of Name of Aurangabad City of the State of Maharashtra to Sambhaji Nagar Bill, 2018. ",28-12-2018,Khaire Shri Chandrakant Bhaurao,
"Introduction of the Distressed Widows and Single Women (Protection, Rehabilitation and Welfare) Bill, 2017. ",28-12-2018,Kirtikar Shri Gajanan Chandrakant,"Divorce,Welfare Measures"
"Introduction of the Missing Children (Faster Tracking and Reuniting) Bill, 2017. ",28-12-2018,Kirtikar Shri Gajanan Chandrakant,"Drug Addiction,Child Trafficking"
